,movie_id,movie_name,year,genre,,director,cast
117,tt7838252,K.G.F: Chapter 1,2018,"Action, Crime, Drama",,Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
118,tt10895576,Mimi,2021,"Comedy, Drama",,"Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar"
119,tt15832148,Afwaah,2023,"Drama, Thriller",,Sudhir Mishra,"Nawazuddin Siddiqui, T.J. Bhanu, Bhumi Pednekar, Eisha Chopra"
120,tt13130308,Godfather,2022,"Action, Crime, Drama",,Mohan Raja,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana"
121,tt8011276,Laila Majnu,2018,"Drama, Romance",,Sajid Ali,"Avinash Tiwary, Triptii Dimri, Sumit Kaul, Abrar Qazi"
122,tt1166100,Ghajini,2008,"Action, Drama, Mystery",,A.R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik"
123,tt5997666,Jab Harry Met Sejal,2017,"Comedy, Drama, Romance",,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Bruce Huther"
124,tt2082197,Barfi!,2012,"Comedy, Drama, Romance",,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
125,tt1266583,Mumbai Meri Jaan,2008,Drama,,Nishikant Kamat,"Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan"
126,tt7212754,Ludo,2020,"Action, Comedy, Crime",,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
127,tt3390572,Haider,2014,"Action, Crime, Drama",,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
128,tt13131232,Mission Majnu,2023,"Action, Drama, History",,Shantanu Bagchi,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain"
129,tt1787988,Talaash,2012,"Crime, Drama, Mystery",,"Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
130,tt4559006,Ae Dil Hai Mushkil,2016,"Drama, Music, Musical",,Karan Johar,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan"
131,tt1280558,A Wednesday,2008,"Action, Crime, Drama",,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
132,tt5638474,Wajah Tum Ho,2016,"Drama, Mystery, Romance",,Vishal Pandya,"Sharman Joshi, Sana Khan, Gurmeet Choudhary, Rajneesh Duggal"
133,tt7098658,Raazi,2018,"Action, Drama, Thriller",,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
134,tt0292490,Dil Chahta Hai,2001,"Comedy, Drama, Romance",,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
135,tt13781794,Bye2,2020,"Drama, Romance",,Tanveer Hashmi,"Bhushan, Karan, Vipin Singh, Shreya Tyagi"
136,tt14152140,Darlings,2022,"Comedy, Drama, Thriller",,Jasmeet K Reen,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
137,tt11460992,Runway 34,2022,"Drama, Thriller",,Ajay Devgn,"Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati"
138,tt4635372,Masaan,2015,Drama,,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi"
139,tt6452574,Sanju,2018,"Biography, Comedy, Drama",,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
140,tt16077702,Govinda Naam Mera,2022,"Comedy, Crime, Drama",,Shashank Khaitan,"Vicky Kaushal, Kiara Advani, Bhumi Pednekar, Renuka Shahane"
141,tt1839596,Rockstar,2011,"Drama, Music, Romance",,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
142,tt5690142,Mom,2017,"Crime, Drama, Thriller",,Ravi Udyawar,"Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui"
143,tt6988116,Kalank,2019,"Drama, Romance",,Abhishek Varman,"Alia Bhatt, Kiara Advani, Sanjay Dutt, Kriti Sanon"
144,tt10324144,Article 15,2019,"Crime, Drama, Mystery",,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra"
145,tt8439854,Lust Stories,2018,"Drama, Romance",,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap","Kiara Advani, Vicky Kaushal, Bhumi Pednekar, Neil Bhoopalam"
146,tt13130948,Shehzada,2023,"Action, Comedy, Drama",,Rohit Dhawan,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala"
147,tt6527426,Zero,2018,"Comedy, Drama, Romance",,Aanand L. Rai,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub"
148,tt13028258,A Thursday,2022,"Drama, Thriller",,Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia"
149,tt0405508,Rang De Basanti,2006,"Comedy, Crime, Drama",,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
150,tt9263550,Rocketry: The Nambi Effect,2022,"Biography, Drama",,Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
151,tt4535650,Dilwale,2015,"Action, Comedy, Drama",,Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
152,tt13449624,Jug Jugg Jeeyo,2022,"Comedy, Drama, Family",,Raj Mehta,"Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh"
153,tt2395469,Gully Boy,2019,"Drama, Music, Romance",,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
154,tt2112124,Chennai Express,2013,"Action, Comedy, Drama",,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
155,tt7430722,War,2019,"Action, Adventure, Thriller",,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana"
156,tt10295212,Shershaah,2021,"Action, Biography, Drama",,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
157,tt7255568,Student of the Year 2,2019,"Action, Comedy, Drama",,Punit Malhotra,"Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal"
158,tt14428598,Qala,2022,"Drama, Music",,Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial"
159,tt4934950,Talvar,2015,"Crime, Drama, Mystery",,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
160,tt15281704,Kuttey,2023,"Action, Comedy, Crime",,Aasmaan Bhardwaj,"Tabu, Arjun Kapoor, Naseeruddin Shah, Konkona Sen Sharma"
161,tt26445483,Fukrey 3,2023,"Comedy, Crime, Drama",,Mrighdeep Lamba,"Pankaj Tripathi, Farhan Akhtar, Richa Chadha, Pulkit Samrat"
162,tt12856788,Dangerous,2022,"Action, Crime, Drama",,Ram Gopal Varma,"Naina Ganguly, Rajpal Naurang Yadav, Mithun Purandare, Apsara Rani"
163,tt2905838,Bang Bang,2014,"Action, Adventure, Comedy",,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa"
164,tt0222012,Hey Ram,2000,"Crime, Drama, History",,Kamal Haasan,"Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini"
165,tt7518786,83,2021,"Biography, Drama, History",,Kabir Khan,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
